Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor
Chevrolet,Lumina,24.629,60.61304828920838,Passenger,-233.67815550307407,1081.8484623611598,2026.4654530959367,727.748985444089,418.2154871628569,-547.1748348507299,317.2860613536534,891.4499706458936,738.6371725861914,5/24/2011,-686.0215803541467
Chevrolet,Monte Carlo,42.593,331.2866924823229,Passenger,-45.533191141953175,509.9415507834551,3436.26785597067,-1062.950920488729,-645.4145914411803,-707.034535868474,-14.30228724017188,334.76733678398585,-657.8503407471279,12/22/2011,1125.3096969070525
Chevrolet,Camaro,26.402,439.07447119037766,Passenger,-1566.0996584889947,0.5819715420465948,-529.4189844935183,-124.40036808444918,539.4373689552993,-407.0420128813362,-591.7142161739704,143.5224340313675,575.4809867492967,10/23/2011,-949.514694819482
Chevrolet,Corvette,17.947,198.74723803751468,Passenger,576.8175248288236,-1419.7000629488227,-161.21167528587554,338.7079162380585,-1487.2654268852236,853.1844025287978,58.62426094310231,1226.9001638171806,172.2070142706057,5/12/2012,-561.4942502733919
Chevrolet,Prizm,32.299,32.41085616057133,Passenger,462.68798127349993,322.3300719787146,-594.0203140398645,-789.6088339500999,349.36413338072225,-545.3782163183848,866.1167239815298,-712.4437206627026,649.0674926732656,9/11/2011,-117.67479457562204
Chevrolet,Metro,21.855,-815.3563207702822,Passenger,2009.5975765145024,-1238.7079271259086,-477.6600231501128,-440.20186807271216,1346.1467579055563,-754.3378061074775,-1008.6188187691448,574.7769105613567,418.9680578304316,4/13/2012,-394.3317293750634
Chevrolet,Impala,107.995,2283.5300851890624,Passenger,-175.53614797304857,-995.204289045138,-816.2736158980142,934.5574536763464,1501.2070156612235,-36.34383935870719,1041.3449496575206,50.86664574037389,-2323.379836715526,6/18/2011,969.9199693010854
Chrysler,Sebring Coupe,7.854,126.5606120515729,Passenger,79.37132521648581,1009.9336512549512,1006.4087734131276,79.55390546453066,-373.1882361495658,-683.7464792191957,313.7089373823377,-1655.9967721687765,-2027.011348250768,1/16/2012,1127.6803762633983
Chrysler,Sebring Conv.,32.775,-717.9759165636744,Passenger,904.6154059657904,-1227.6864246695286,754.0492289272295,-1251.3932684119825,757.5006977067831,157.80081822822743,157.2212826378515,1525.9302042963864,-1333.362319020035,11/17/2011,1315.6198865717663
Chrysler,Concorde,31.148,-492.9397246851734,Passenger,-885.4344039761215,998.8631316921582,555.1444867409418,931.5428299035289,-779.1546271817741,1061.6175174276268,33.931399132234986,-1807.585199968486,-765.5062586948494,6/6/2012,248.7891304031301
Chrysler,Cirrus,32.306,547.1515044721137,Passenger,440.1707695385017,1003.633805593238,289.5365810156898,-138.25274779517247,-740.9467743664175,491.1124723275927,-345.3223861155602,-1823.328848195846,-2484.237418981066,10/6/2011,-10.001660048786764
Chrysler,LHS,13.462,320.4231093592379,Passenger,-1166.710544441546,-1083.421482013248,-580.2189890648842,-1972.1748540145015,-293.5112480005312,213.44546482751585,-1198.3290933891617,-1624.9706545297745,-244.5801220134498,5/8/2012,655.0328951848769
Chrysler,Town & Country,53.48,0.2187028562524541,Car,535.8318086642432,-921.3176515467744,-274.40947129040165,-209.4044908147621,-1226.8765580050638,-378.6037550540872,-87.51328118570856,853.3789257543419,-1242.423195337079,7/13/2011,329.6632526918173
Chrysler,300M,30.696,1256.6828886062192,Passenger,108.26618109545176,-241.48166474930477,954.9925484469676,-44.763162562257705,-703.2687209207357,1145.693596567187,-67.5010616377405,531.383996159925,-885.856648415353,2/10/2012,193.0538870750952
Dodge,Neon,76.034,469.6671639684868,Passenger,-2684.944831999177,-1069.7041420674832,-570.583217312853,301.5800532621027,-244.2480959144308,197.3427563902988,-1627.5025109794542,246.25763963836,146.97596300564408,12/12/2011,161.22896035284393
Dodge,Avenger,4.734,835.7449409114596,Passenger,2970.691073480083,-2930.3338520090924,-102.68456068620594,1033.4830000640509,-360.469364940722,1147.108953087681,921.6274416219476,270.1651250680965,395.3353112126704,7/1/2012,-845.1899253054536
Dodge,Stratus,71.186,-71.50850581215354,Passenger,52.39770116181051,-891.1140920600787,-622.1750538512481,235.61455552392465,2153.8434243285838,558.5739423027836,1393.1715104109162,-1188.6607173333791,-1815.5214661709672,10/31/2011,-1483.4048537243905
Dodge,Intrepid,88.028,-534.3000214979465,Passenger,376.8395900498032,1663.422804487721,-559.3127268401312,-89.49218361982571,2061.2957195589315,2502.5587488008905,390.3658236646587,1838.3411820019264,2330.757880548917,6/2/2012,1095.0251968594605
Dodge,Viper,0.916,-455.6122108175617,Passenger,-637.0867346502338,435.1147697102682,2029.6500625506192,661.4448241386899,240.6594499936037,468.8534377278152,-627.0851604219606,748.9690036222029,527.5650834883372,8/7/2011,-580.2197490402426
Dodge,Ram Pickup,227.061,-710.6955017412679,Car,913.2789807897792,401.8346879559664,-612.0985998736438,-396.506293600405,-502.17654916548526,-511.78046689209657,-1899.68524014824,-811.0129315640149,782.589284709031,3/6/2012,1335.0327916029737
Dodge,Ram Wagon,16.767,545.464175727046,Car,-2809.9710466375523,1376.773887368271,662.417537171381,359.5696126478141,56.0370385547637,-581.4469888167716,282.92709950240885,-471.07234951699945,257.0960070365725,1/6/2012,-84.15416812988502
Dodge,Ram Van,31.038,1045.4739211919266,Car,1220.8666197074645,-224.99408655856456,1595.0585872404815,726.407394060492,-234.0813988542353,958.5246762557796,-926.612499965107,278.8628747697771,-907.1066420652912,7/26/2012,1288.8605869338187
Dodge,Dakota,111.313,958.9635633197836,Car,103.27706970515086,688.6037453634335,-1759.3531315855626,-769.7516529854407,2050.2484577443456,-344.0128154642981,424.75904042308935,-289.6046762298414,-1644.703877802791,11/25/2011,160.4818100399911
Dodge,Durango,101.323,586.4740937706408,Car,-21.0865289943119,204.00045402795055,-1273.2903793585565,1149.79119505797,-13.009482141026549,-7.372982611517457,-249.49946614063165,-249.55667974371505,1473.0245939191025,6/27/2012,1673.5712409121877
Dodge,Caravan,181.749,-1130.1125037769968,Car,-199.42104475332175,-431.48597396720345,126.34416129962622,11.068118566977764,335.1115064110588,-368.05296423537726,-816.0524613525719,1184.9808246847313,-1214.4407791895585,9/1/2011,-1773.7703958892623
Ford,Escort,70.227,718.3220460133035,Passenger,1012.6987509798846,1350.3539549527673,2391.30568584442,-1150.8106006675982,1544.272087717187,-12.947532241875018,819.1459933362514,1301.658336805308,-1014.6818739486716,3/31/2012,29.01374624995345
Ford,Mustang,113.369,247.9746767258681,Passenger,140.50877026148396,-748.8495191059419,257.82579029291725,-682.3385214541373,1021.3501275166752,418.59337493680624,1445.0166047251396,1931.0710102666592,1264.1816121180998,1/31/2012,-2324.999724198836
Ford,Contour,35.068,179.1526226207699,Passenger,746.5314137255839,-465.74752854337873,-156.65916242941512,212.28040236685112,-2227.2508244938804,-299.39771410872976,-267.6067671722664,738.8262037332713,945.908963748233,8/20/2012,220.05093749852
Ford,Taurus,245.815,332.3217162502008,Passenger,393.1618324949024,-727.6396514099835,-1109.2455958327523,-162.91514422881804,-897.2375091014725,-1188.5681544402407,-344.67912040646075,1220.8910530554515,-499.211317450203,12/20/2011,-422.4594559550305
Ford,Focus,175.67,338.6061572074871,Passenger,-644.7402544313866,-1002.4157059494412,481.1318772880966,-11.189734198117952,-233.773359621544,-671.4380758334017,908.1486227281838,-352.34430055966186,742.3141086343124,7/22/2012,1876.3824029695024
Ford,Crown Victoria,63.403,-158.55260047160178,Passenger,208.7360975897304,273.71790448738807,-502.6800447157318,-414.1460155860625,496.9128196270548,421.5075828535999,-1877.663509662686,987.8219106112364,-771.8891893823252,9/26/2011,-1153.6502227543313
Ford,Explorer,276.747,-1438.0282666028745,Car,-425.2617079466891,92.40949420185277,648.8704541655035,-1139.507107746121,-548.1093450613616,-966.2270315265708,-72.40481742227719,-428.5933569819475,708.6987424299145,4/25/2012,735.3632559461513
Ford,Windstar,155.787,-286.88456082248854,Car,1125.9783657623932,-371.76614448765696,-693.1505876384723,-105.36651946082456,708.5852176053153,-449.63993780809545,1234.221462427892,-2254.267283514656,-650.5753240913724,2/25/2012,-1518.511130441775
Ford,Expedition,125.338,1196.0351891747011,Car,-217.49113465668628,79.13439758915683,245.96196227284003,-416.85828691544685,-21.270837179554917,418.4052841777797,-1079.662831040577,-2337.081667083756,-568.6469693817025,9/14/2012,137.947534419642
Ford,Ranger,220.65,-1948.8714873720812,Car,318.6715489393256,209.9905956847672,341.6048585996198,2359.0100358144205,583.4140993313591,1331.749262863035,-275.5970295183356,-385.40553560757775,-306.2347124067921,1/14/2012,311.1573537051659
Ford,F-Series,540.561,727.975950682269,Car,2299.01227354254,-2558.9085124778217,1633.212163742801,-915.1252719833836,-344.54107570752234,-344.5445895705876,-1172.229757451852,1466.094482838125,-537.3249673373358,8/16/2012,784.6432368688063
Honda,Civic,199.685,-887.7562308341842,Passenger,1828.821183610302,-1603.7350475808903,-1098.6446798103675,1011.2037119285952,1892.659343232468,1279.0937810279468,-913.0312824466666,-444.0097676321669,-544.7202230509824,10/21/2011,-2.696684808601112
Honda,Accord,230.902,-811.2201860603544,Passenger,-1715.0426993343542,1242.4060695955843,1382.5951282644874,-1490.221952704978,-178.06580774295546,-744.9338674288917,943.232199056498,-2597.4876239357254,-466.5538605251005,5/20/2012,-630.397628000866
Honda,CR-V,73.203,-1090.1626633222372,Car,-1057.4067161108223,-13.76363660122885,168.84428698869863,-1772.466250279493,-964.9124977105898,4.040696745598956,985.90877091785,2099.977497570914,731.4566286063371,3/21/2012,-77.57138709479453
Honda,Passport,12.855,-582.1752695863224,Car,749.4578316748532,-139.85874923220408,-1182.9169953813737,205.99354708292728,-541.7903964420747,1142.136176642298,-87.5398762576135,1004.5786044796752,245.45353898749707,10/9/2012,-537.5294718790212
Honda,Odyssey,76.029,1681.517434844511,Car,1584.9267715177389,923.918288325557,501.3003087132564,-500.6022088954095,88.55221313946153,-1133.843119282771,1557.9297727637158,447.8918932587678,54.30046755110199,2/8/2012,-1078.3002897616338
Hyundai,Accent,41.184,132.83305657279482,Passenger,1039.6084506926748,-1312.4662961960262,1860.692929911782,-675.8964796504808,161.02688809465985,-1209.9449635221304,-861.454712960703,308.6616595536633,-644.7433669549494,9/10/2012,3025.2201349682364
Hyundai,Elantra,66.692,-215.26410239484204,Passenger,-690.3631698744738,-2097.981905701306,-669.7504142725212,-451.0027381643104,1292.579671421131,-103.9479530409408,-1506.4310972043197,631.2304447948505,-812.7226085175614,11/15/2011,-60.51984950209216
Hyundai,Sonata,29.45,-1140.6261016732217,Passenger,-521.090835767106,373.84760239475526,-2210.115249504913,-2252.9239506092645,-19.34655497171811,-147.56175268375247,-1138.708367289155,-753.131757381212,-343.82264870931795,6/14/2012,-160.53434593941788
Infiniti,I30,23.713,-832.0316815744827,Passenger,562.6707418427128,1083.85467094007,333.8257149030829,226.2719083942125,700.4924764812575,-153.37142282894175,-752.1225360993907,-499.1733818126504,-421.216231769894,4/15/2012,-273.2713517078698
Jaguar,S-Type,15.467,-230.5425700471515,Passenger,-336.1589675819431,288.96117183481545,1867.7292003884013,-1538.7583916197364,-1169.3282038491095,1493.1070772648598,1941.7196407915328,254.55967425772585,-762.7891601922856,11/3/2012,1186.444056367802
Jeep,Wrangler,55.557,-1175.403266108541,Car,102.42775468045836,-108.00124276993144,-710.1961933375551,-2093.734112442354,997.270206228288,1039.7200723968708,1358.7171642981043,1037.365846264997,1871.0102506040748,3/4/2012,2088.965592901781
Jeep,Cherokee,80.556,1535.678810772935,Car,-3.7351224267480383,-790.5254059899461,-2185.289047595069,295.28370864646547,1114.2267545721052,-536.5505826217485,-517.0352078966627,2251.591572036951,3620.5697977681793,10/5/2012,-33.12813371633511
Jeep,Grand Cherokee,157.04,-835.3345986915834,Car,-774.9425660872644,-254.9090773489137,428.41672143420936,-9.637831721175722,-157.70339342813304,576.458488095148,1070.31554159109,395.4250113946204,-321.21018130494514,12/10/2011,-864.7591822530229
Lexus,ES300,24.072,-574.6219913964668,Passenger,-695.6071039815981,-205.89157487067772,329.40141793027584,923.4053066174508,637.7592468690891,170.11443060570758,192.05870455064877,-2074.3167034024523,-1629.8615557129258,7/9/2012,509.4101808961723
Lexus,GS300,12.698,162.11799728400393,Passenger,290.8537985657809,57.77201648844306,-198.53741100776887,1054.6798677632748,544.2959783323818,-1680.917638703538,-669.8041226358298,763.8791450922649,335.8995803341003,5/10/2012,-538.7998545526714
Lexus,GS400,3.334,362.18580015848966,Passenger,1231.1762191207586,-573.7461150741265,-1060.8916492866756,-1490.3182214462415,-1831.5414388561,-1236.329379972934,-655.3258255732882,266.2420094538472,-2018.9316192142933,11/28/2012,1807.5225294822649
Lexus,LS400,6.375,1182.330981077316,Passenger,332.70163572836486,173.73022656045265,-532.7672215397162,-1395.7750802006408,-1921.399421119276,111.33793963536726,-1928.72878071228,-1092.3715907785586,695.1442392489865,3/29/2012,-2079.7514857442497
Lexus,LX470,9.126,462.5357824883327,Car,-1689.0093093708415,519.7688122880137,-42.81388445021764,2272.645373905166,215.22367792490363,-339.0199212279675,1621.2093672983558,-573.745469464221,1654.1772566208442,10/30/2012,-342.538337281345
Lexus,RX300,51.238,-69.23680279408258,Car,996.7991975808314,-1851.3233697462977,1039.204742647858,-1344.3810534285335,803.9456393184563,-1461.2262972242886,-2026.9779819901453,-846.1403088129795,546.3647046430908,1/4/2012,1711.5407111701172
Lincoln,Continental,13.798,-10.399699730435552,Passenger,-277.49265662844283,-175.90542632550668,-478.3799476328016,-927.6070274685084,47.43499845009893,394.4938584760632,-103.12755227772696,-2649.3611650161934,-513.5192446427225,8/3/2012,1139.1950988999924
Lincoln,Town car,48.911,216.4491276921182,Passenger,369.2899908759152,1222.2952481235775,1627.106198032187,164.17583668206476,-1401.577707997648,1348.6778375878628,830.9576887003823,1680.5910871698743,-1291.7190239952818,6/4/2012,-28.911807504424715
Lincoln,Navigator,22.925,795.3586701403616,Car,-96.4428007565097,440.34260611916073,-336.2588857741597,-809.991069802208,540.4861738387337,-152.30067654014692,765.8153944350681,933.8519363146764,-222.50483743230728,12/23/2012,263.31398772151914
Mitsubishi,Mirage,26.232,684.0733010770456,Passenger,612.2516526507052,522.4071484355021,-754.371785442658,-242.26607910957085,296.26162566774934,2259.170689100785,228.0003135468948,438.65423987933417,-107.9228800412822,4/23/2012,705.5540067130316
Mitsubishi,Eclipse,42.541,954.8542208786208,Passenger,-2067.146866697573,1020.861789343478,211.77292840652808,780.2214416174105,-1406.3432659099913,5.754549515361027,-1748.3620732824977,-1948.5478917835696,2173.9486778899845,11/24/2012,915.864755682426
Mitsubishi,Galant,55.616,-597.0256683209409,Passenger,802.3455492713607,80.53561886433553,-1502.6943687511543,-2302.4218968614846,672.2791283975309,-830.6160189532096,754.2166849280057,-399.1123939551964,613.4349862534427,1/29/2012,1132.0455295853544
Mitsubishi,Diamante,5.711,-136.57548759022205,Passenger,-355.26606285519256,209.00680012078092,503.7552859669618,56.218220434396734,2454.9086638794734,-708.0473986410643,-304.5188679933994,1046.8501061731054,-1604.754696576516,8/28/2012,-58.52099391037707
Mitsubishi,3000GT,0.11,506.8381957330448,Passenger,-160.13772401409898,65.78750944069029,62.04313820248875,823.8797245637279,-73.67183861131899,511.131442229261,-1564.1766171492816,-610.6157729347783,-3239.705903956125,6/29/2012,-2011.1198781307187
Mitsubishi,Montero,11.337,700.4093338891281,Car,443.70822450390887,-342.758881512881,114.65866596119528,-496.0707370893032,1161.5932232553075,188.2776478217496,494.3209785371957,-587.4794028492273,1831.4002361362784,1/17/2012,5.005344395274466
Mitsubishi,Montero Sport,39.348,-214.1246270683449,Car,-560.8601887418661,-142.3239547748149,342.67931277273766,-1396.101461310772,-605.7524309522306,-198.6467522359378,326.1003656518182,721.5151808633849,-171.87120218896376,5/18/2012,-450.2058959424416
Mercury,Mystique,14.351,-237.27978296969317,Passenger,-1323.3346262102943,-2835.9381419708134,2618.777195041348,-986.501307492262,634.7146641597805,1302.5186782917058,-636.9187489403514,267.3863923471808,-491.4623650029936,12/19/2012,649.3736437688874
Mercury,Cougar,26.529,1235.2424653956457,Passenger,10.837231941746454,834.2358632214592,-596.8061842483149,-1684.234886179345,-639.6344696709469,-125.48334632480056,124.18462077216816,-452.5166671630728,-513.0466616814177,2/23/2012,282.18589294917234
Mercury,Sable,67.956,1705.4694960850895,Passenger,2135.377857361268,-370.0934736645457,1308.5524131787404,242.6454406913287,1632.2804503937066,-884.4736891817851,757.9144231641956,999.711216725762,1118.397071699483,9/22/2012,1571.706298165953
Mercury,Grand Marquis,81.174,53.97202387587309,Passenger,-982.998605134367,456.2925669340681,2031.5287985131647,867.7208278085152,-500.6072808896709,-387.3071410171597,98.01289494040726,-528.1180775768269,-355.46273139368583,7/24/2012,5.570982868560266
Mercury,Mountaineer,27.609,-101.95206303574165,Car,-260.3261622363188,1330.4764850676572,789.7221927444774,-469.9766494904397,-264.27972952607905,-226.2249526817406,-726.3586399715258,-87.65120232048463,-1907.1128018094591,2/13/2008,1991.6302649324768
Mercury,Villager,20.38,1420.673739830835,Car,-973.009238592012,-1099.4381725028195,-261.00775905195354,1317.1122369812294,-1021.772153932784,-537.0043504511814,1362.377692851074,1605.8636066915565,901.5220399510234,10/20/2009,-842.8074482549006
Mercedes-B,C-Class,18.392,-874.1313086213279,Passenger,-533.5321302449971,44.3583688197652,344.99249123627186,-24.69582025964356,406.22921973575865,816.905290633431,568.0458455937822,155.4037719586867,-399.3971845665477,4/24/2011,-322.7968988998577
Mercedes-B,E-Class,27.602,301.6626223381191,Passenger,2131.8676210322656,-404.6883834029108,1531.5180958238102,935.882041891189,-1112.0797573689583,-648.6967523786741,3.1158667570704672,-467.2695861274979,-668.6341751355185,7/12/2011,-919.7635965766648
Mercedes-B,S-Class,16.774,1610.5917081282803,Passenger,457.8109595312695,-856.1328120729747,814.8797058981837,436.8819900315576,1922.4537273640524,-526.3336129638459,-844.9825079821255,-213.8543684190093,-1623.800074903099,6/13/2011,711.9699462708159
Mercedes-B,SL-Class,3.311,-264.670804139178,Passenger,-1579.7921798478458,23.504044961696717,-633.2527043939897,-311.7339063910753,731.6982785094527,647.4128648263195,2565.382401619177,-1568.4151003793097,-107.40891114902384,3/17/2011,1959.5798800438308
Mercedes-B,SLK,7.998,1227.361248534938,Passenger,281.41274201893486,437.5683938965653,882.6458422430374,-209.75212931129457,-643.3650196561601,932.95693344608,-2010.0550637516287,848.6663691734858,-1933.5033701379791,1/16/2011,-1696.325861971388
Mercedes-B,SLK230,1.526,-1262.9859001706063,Passenger,252.7631647149205,1320.2719674074565,1995.1397533142967,-678.5727899504686,-1020.425311534352,-206.35415018976215,575.0059647646681,312.00369553603707,325.3765744957507,8/6/2011,192.8081513843642
Mercedes-B,CLK Coupe,11.592,107.86501387180309,Passenger,-221.8795100775488,-794.0833467387341,9.109632105588922,-357.5053217846971,-444.7722943732372,-773.5775205388902,-382.3844695554281,-27.368290526541543,-472.2182806951621,7/8/2011,1370.2393650737722
Mercedes-B,CL500,0.954,1984.3761987632536,Passenger,1797.645816232765,-1202.2457925950714,712.0139573358755,-894.6710729246488,214.20164678858364,1615.7425678472305,535.9537376751351,846.828839540064,687.9721442963374,4/11/2011,-766.7374856005441
